Keyword,Source,URL đang rank,URL mục tiêu,Volume,KD,Clicks,Impressions,CTR,Position,Intent,Funnel,Cluster,Main Topic,Sub Topic,Parent Topic,Topical Authority Role,URL Status,Issue Found,SEO Action,Priority,Internal Link Target,Suggested Anchor,Content Brief Status,Owner,Review Date
fda,GSC,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,,,9,10713,0.08%,5.74,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
tc,GSC,https://knacert.com.vn/dich-vu/giay-chung-nhan-giao-dichchung-chi-tc-la-gi/,,,,9,9453,0.10%,3.95,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
six sigma,GSC,https://knacert.com.vn/cong-cu-cai-tien/tim-hieu-mo-hinh-lean-six-sigma-mo-hinh-cai-tien-nang-suat-chat-luong/,,,,1,8892,0.01%,1.33,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa là gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,42,7772,0.54%,3.24,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-la-gi-nhung-tieu-chuan-iso-duoc-su-dung-nhieu-nhat/,,,,24,6807,0.35%,3.88,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-la-gi-nhung-tieu-chuan-iso-duoc-su-dung-nhieu-nhat/,,,,7,5690,0.12%,4.24,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
six sigma,GSC,https://knacert.com.vn/cong-cu-cai-tien/phuong-phap-six-sigma-la-gi/,,,,0,4963,0.00%,9.66,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
coa là gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/giay-coa-la-gi-tac-dung-cua-giay-chung-nhan-coa-certificate-of-analysis/,,,,51,4715,1.08%,2.29,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
coa,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/giay-coa-la-gi-tac-dung-cua-giay-chung-nhan-coa-certificate-of-analysis/,,,,17,3916,0.43%,4.18,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
smart,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tong-quan-ve-mo-hinh-smart-vi-du-ve-muc-tieu-smart/,,,,3,4626,0.06%,10.02,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,42,4156,1.01%,3.38,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
lean manufacturing,GSC,https://knacert.com.vn/cong-cu-cai-tien/mo-hinh-lean-manufacturing-quan-ly-tinh-gon-la-gi/,,,,1,3574,0.03%,9.93,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
swot là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/ma-tran-swot-la-gi-ung-dung-cua-swot-vao-phan-tich-chien-luoc-kinh-doanh/,,,,7,3452,0.20%,8.04,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
smeta,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-trach-nhiem-xa-hoi-smeta-la-gi/,,,,6,3431,0.17%,6.28,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cfc,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/cfc-la-khi-gi-cac-nguon-phat-thai-cua-khi-cfc/,,,,3,3155,0.10%,8.18,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,2,3624,0.06%,1.94,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
fla,GSC,https://knacert.com.vn/dich-vu/tu-van-tieu-chuan-fla-hiep-hoi-lao-dong-cong-bang/,,,,2,2976,0.07%,4.74,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
kaizen là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/kaizen-la-gi-tim-hieu-nhung-loi-ich-tu-viec-ap-dung-kaizen/,,,,24,3417,0.70%,3.61,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
spc,GSC,https://knacert.com.vn/phat-trien-ben-vung/gioi-thieu-ve-kiem-soat-quy-trinh-thong-ke-spc-trong-he-thong-iatf-16949/,,,,0,2518,0.00%,4.13,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
coa là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/giay-coa-la-gi-tac-dung-cua-giay-chung-nhan-coa-certificate-of-analysis/,,,,23,2714,0.85%,3.68,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
coa,GSC,https://knacert.com.vn/cong-cu-cai-tien/giay-coa-la-gi-tac-dung-cua-giay-chung-nhan-coa-certificate-of-analysis/,,,,13,2265,0.57%,4.88,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,1,2253,0.04%,7.55,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
swot,GSC,https://knacert.com.vn/cong-cu-cai-tien/ma-tran-swot-la-gi-ung-dung-cua-swot-vao-phan-tich-chien-luoc-kinh-doanh/,,,,7,2110,0.33%,5.03,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ul,GSC,https://knacert.com.vn/dich-vu/chung-nhan-ul-mark/,,,,1,2445,0.04%,2.96,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
