"PostID","PostTitle","PostURL","LinkHref","LinkText"
"12655","Thư Mời tham gia Hội thảo “Chứng nhận UN Marking: Chìa khóa cho Bao bì An toàn và Tuân thủ Quốc tế”","https://knacert.com.vn/su-kien-va-chuong-trinh/thu-moi-tham-gia-hoi-thao-chung-nhan-un-marking-chia-khoa-cho-bao-bi-an-toan-va-tuan-thu-quoc-te/","/chung-nhan-un-mark-cho-cac-hang-hoa-nguy-hiem","tại đây"
"9404","KNA hợp tác với TUV đánh giá tiêu chuẩn FSC®COC tại Việt Nam","https://knacert.com.vn/su-kien-va-chuong-trinh/kna-hop-tac-voi-tuv-danh-gia-tieu-chuan-fsc-tai-viet-nam/","https://tuvaustriahellas.gr/services/fsc-chain-of-custody-certification/?lang=en","Tại đây"
"9404","KNA hợp tác với TUV đánh giá tiêu chuẩn FSC®COC tại Việt Nam","https://knacert.com.vn/su-kien-va-chuong-trinh/kna-hop-tac-voi-tuv-danh-gia-tieu-chuan-fsc-tai-viet-nam/","https://connect.fsc.org/fsc-public-certificate-search?fscinfo=/certificate.php","TẠI ĐÂY"
"9258","Tiêu chuẩn BSCI PDF [BSCI standard PDF]","https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-bsci-pdf-bsci-standard-pdf/","https://drive.google.com/file/d/1brdVp43Nv16jkIaPky46qR_fdF_gUu0i/view?usp=sharing","TẠI ĐÂY"
"8683","Cấp Chứng nhận ISO 9001:2015 cho Công ty TNHH Khang Trường Thịnh","https://knacert.com.vn/khach-hang/cap-chung-nhan-iso-90012015-cho-cong-ty-tnhh-khang-truong-thinh/","https://khangtruongthinh.com/vi/","Tại Đây"
"8623","Đánh giá ISO 9001 theo quy trình chuẩn tại KNA CERT","https://knacert.com.vn/cong-cu-cai-tien/danh-gia-iso-9001-theo-quy-trinh-chuan-tai-kna-cert/","http://tailieuiso9001.knacert.com.vn/","Tại đây."
"8308","Thông báo lịch nghỉ Tết Dương lịch 2023 và Tết Âm lịch Quý Mão 2023","https://knacert.com.vn/su-kien-va-chuong-trinh/thong-bao-lich-nghi-tet-duong-lich-2023-va-tet-am-lich-quy-mao-2023/","https://drive.google.com/file/d/1-lEqKT8gYMjwTgEE_CAs_hnY7K0-yUN6/view?usp=sharing","Tại Đây"
"7837","KNA Triển khai khóa tập huấn Nhận thức chung về Hệ thống Quản lý An toàn Thực phẩm toàn cầu BRC FOOD ISSUE 9","https://knacert.com.vn/tin-tuc-dao-tao/kna-trien-khai-khoa-tap-huan-nhan-thuc-chung-ve-he-thong-quan-ly-an-toan-thuc-pham-toan-cau-brc-food-issue-9/","/dao-tao-chung-nhan-brcifs-food","Tại đây"
"7416","DỊCH VỤ CHỨNG NHẬN ISO 9001:2015 – CÔNG NHẬN QUỐC TẾ","https://knacert.com.vn/tin-tuc-tieu-chuan/dich-vu-chung-nhan-iso-90012015-cong-nhan-quoc-te/","http://tailieuiso9001.knacert.com.vn/","Tại đây."
"7234","Checklist đánh giá SMETA","https://knacert.com.vn/tin-tuc-tieu-chuan/checklist-danh-gia-smeta/","https://docs.google.com/forms/d/e/1FAIpQLSe8daP2_zhQj0b5yB2GXVMbnHQ8IFR2DomCFKBTToQTuE9JLg/viewform","Tại đây."
"7229","Các thông tin về Chứng chỉ CTPAT (CTPAT certificate)","https://knacert.com.vn/tin-tuc-tieu-chuan/cac-thong-tin-ve-chung-chi-ctpat-ctpat-certificate/","https://docs.google.com/forms/d/e/1FAIpQLSe8daP2_zhQj0b5yB2GXVMbnHQ8IFR2DomCFKBTToQTuE9JLg/viewform","Tại đây."
