"PostID","Title","Status"
"12655","Thư Mời tham gia Hội thảo “Chứng nhận UN Marking: Chìa khóa cho Bao bì An toàn và Tuân thủ Quốc tế”","OK"
"9404","KNA hợp tác với TUV đánh giá tiêu chuẩn FSC®COC tại Việt Nam","OK"
"9258","Tiêu chuẩn BSCI PDF [BSCI standard PDF]","OK"
"8683","Cấp Chứng nhận ISO 9001:2015 cho Công ty TNHH Khang Trường Thịnh","OK"
"8623","Đánh giá ISO 9001 theo quy trình chuẩn tại KNA CERT","OK"
"8308","Thông báo lịch nghỉ Tết Dương lịch 2023 và Tết Âm lịch Quý Mão 2023","OK"
"7837","KNA Triển khai khóa tập huấn Nhận thức chung về Hệ thống Quản lý An toàn Thực phẩm toàn cầu BRC FOOD ISSUE 9","OK"
"7416","DỊCH VỤ CHỨNG NHẬN ISO 9001:2015 – CÔNG NHẬN QUỐC TẾ","OK"
"7234","Checklist đánh giá SMETA","OK"
"7229","Các thông tin về Chứng chỉ CTPAT (CTPAT certificate)","OK"
"7149","Công ty TNHH Hưng Nghiệp Formosa Đạt Chứng Nhận ISO 14001:2015","OK"
"7134","Nội dung chính của Sổ tay BSCI [BSCI System Manual]","OK"
"7054","Cấp chứng nhận tích hợp ISO 9001 cho Công Ty Cổ Phần Công Nghiệp Cao Su Hiệp Thành","OK"
"7038","Checklist đánh giá BSCI [Hồ sơ, tài liệu chuẩn]","OK"
"7034","[BSCI report] Báo cáo BSCI là gì?","OK"
"6979","[BSCI remediation plan sample] Mẫu kế hoạch khắc phục BSCI","OK"
"6971","Cấp chứng nhận tích hợp ISO cho Công ty TNHH XNK IRI Factory Vina","OK"
"6959","Cấp chứng nhận tích hợp cho Công ty TNHH Smart Vina","OK"
"6942","WRAP Manual PDF – Sổ tay đánh giá viên theo WRAP","OK"
"6856","Dịch vụ Đánh giá chứng nhận Trách nhiệm xã hội từ xa – Remote Audit","OK"
"6851","Nội dung tự đánh giá Amfori BSCI Self-Assessment","OK"
"6818","Chứng chỉ ISO 45001 (ISO 45001 certificate) – Chứng nhận được công nhận toàn cầu","OK"
"6813","Bộ quy tắc ứng xử BSCI mới nhất [BSCI Code of Conduct]","OK"
"6806","Quy định về gỗ của Liên minh Châu Âu EUTR là gì?","OK"
"6768","Phân tích Chính sách chất lượng ISO 9001:2015","OK"
"6755","Dịch vụ đánh giá chứng nhận ISO từ xa – Remote Audit [KNA CERT]","OK"
"6730","Khó khăn khi áp dụng ISO 45001:2018 – KNA CERT","OK"
"6728","Quá trình hình thành và phát triển của ISO 14001 – KNA Cert","OK"
"6726","Hệ thống quản lý an toàn và sức khỏe nghề nghiệp ISO 45001 – Hệ thống OHS","OK"
"6724","Chính sách ISO 45001 về An toàn và sức khỏe nghề nghiệp","OK"
"6722","Hướng dẫn thực hiện ISO 45001 cho Doanh Nghiệp","OK"
"6720","Thuận lợi khi áp dụng ISO 45001:2018 – KNA CERT","OK"
"6718","[ISO 45001:2018] Rủi ro OHS là gì? – KNA CERT","OK"
"6716","Bộ tài liệu ISO 45001 đầy đủ nhất – KNA CERT","OK"
"6714","Sổ tay ISO 45001 – Hướng dẫn quản lý an toàn và sức khỏe nghề nghiệp","OK"
"6704","Các yêu cầu khi Xác định rủi ro và cơ hội trong ISO 14001","OK"
"6688","GIỚI THIỆU VỀ TUV AUSTRIA","OK"
"6683","Xác định rủi ro và cơ hội trong ISO 9001 – KNA CERT","OK"
"6671","Quy trình trao đổi thông tin theo ISO 14001 – KNA CERT","SKIP"
"6669","Quy trình ISO 14001 được thực hiện như thế nào – KNA CERT","OK"
"6650","Khó khăn khi áp dụng ISO 14001 – KNA CERT","OK"
"6648","Thuận lợi khi áp dụng ISO 14001 – KNA CERT","OK"
"6643","Chi Phí Cấp Chứng Nhận ISO 9001 là bao nhiêu? Đơn Vị Chứng Nhận Uy Tín","OK"
"6631","Đánh giá Cấp Chứng Nhận ISO 9001 và ISO 14001 cho Công ty TNHH Nhựa và Cơ Khí Đông Dương","OK"
"6623","Các yêu cầu của tiêu chuẩn ISO 14001 – KNA CERT","OK"
"6610","Danh sách tài liệu ISO 14001:2015 bắt buộc","OK"
"6608","Khó khăn khi áp dụng ISO 9001:2015 – KNA CERT","OK"
"6606","Thuận lợi khi áp dụng ISO 9001:2015 – KNA CERT","OK"
"6597","Đánh giá Cấp Chứng Nhận ISO 9001 cho Công Ty TNHH YT Solution Vina","OK"
"6573","Đánh giá Cấp Chứng Nhận ISO 9001 cho Công ty Cổ Phần Mía Đường Lam Sơn","OK"
"6554","Đánh giá Cấp Chứng Nhận Tích hợp ISO 9001 và 14001 cho Công ty Cổ Phần Green Can","OK"
"6524","KNA CERT đánh giá tái chứng nhận và cấp chứng chỉ ISO 9001:2015 cho Công ty Cổ Phần Đầu tư Xây Dựng và Kỹ Thuật 29","OK"
"6507","KNA CERT đánh giá tái chứng nhận và cấp chứng chỉ ISO 9001:2015 cho Công ty TNHH CNC Vina","OK"
"6497","Tổ chức ISO Quốc Tế ghi nhận thành công của Việt Nam áp dụng ISO 9001","OK"
"6436","Cấp Chứng Nhận ISO 9001:2015 cho Công Ty Cổ Phần Thương Mại và Cơ Khí Việt Hưng","OK"
"6403","IAF CertSearch Cơ sở dữ liệu Chứng nhận được công nhận Toàn Cầu","OK"
"6395","Cấp Chứng Nhận ISO 9001:2015 và ISO 14001:2015 cho Công ty TNHH Sản Xuất &#8211; Thương Mại Di Phong","OK"
"6330","Chứng chỉ ISO 14001 Của KNA CERT – Chứng nhận được công nhận toàn cầu","OK"
"6318","Tài Liệu ISO 31000:2018 pdf về Hệ Thống Quản Lý Rủi Ro","OK"
"6284","Cấp Chứng Nhận ISO 9001:2015 cho Công ty TNHH Kỹ Thuật Công Nghệ Lâm Hoàng Minh","OK"
"6225","Chứng chỉ ISO 9001 Của KNA CERT – Chứng nhận được công nhận toàn cầu","OK"
"6216","Công Ty TNHH Innovation Tương Lai Việt Nam Đạt Chứng Nhận ISO 14001:2015","OK"
"6186","12 Nguyên Tắc Của WRAP","OK"
"6166","Cấp Chứng Nhận ISO 9001:2015 cho Công ty Cổ Phần Vũ Trụ Việt Nam","OK"
"6145","Cấp Chứng Nhận ISO 9001:2015 cho Công ty Cổ Phần Azuma Việt Nam","OK"
"6020","Thực trạng áp dụng bộ tiêu chuẩn SA 8000 tại Việt Nam","OK"
"6018","Những câu hỏi thường gặp về tiêu chuẩn SA8000 ?","OK"
"6017","Tài liệu Tiêu chuẩn SA 8000:2014 tiếng việt pdf","OK"
"6016","Tài liệu Tiêu chuẩn ISO 26000 tiếng Việt pdf","OK"
"5954","Thực trạng Trách Nhiệm Xã Hội của Doanh Nghiệp (CSR) tại Việt Nam","OK"
"5921","Tài liệu tiêu chuẩn GMP &#8211; Hướng dẫn thực hành tốt sản xuất thuốc","OK"
"5883","Việt Nam có một bước tiến lớn đối với rừng được chứng nhận thông qua sự Công Nhận của PEFC","OK"
"5828","ISO 9001:2015 PDF &#8211; Tài liệu ISO 9001 phiên bản 2015 PDF","OK"
"5797","Checklist đánh giá nội bộ ISO 14001:2015","OK"
"5711","Tiêu chuẩn C-TPAT là gì ?  Những nội dung cập nhật mới","OK"
"5675","Tài liệu ISO 13485:2016 PDF &#8211; Hệ Thống Quản Lý Trang Thiết Bị Y Tế","OK"
"5634","Tăng hiệu quả, chất lượng công việc của người lao động nhờ áp dụng ISO 9001","OK"
"5611","Thành công tại các địa phương sau khi áp dụng hệ thống quản lý chất lượng ISO 9001: 2015","OK"
"5583","Tiêu chuẩn ISO 22000 pdf &#8211; Tiêu chuẩn ISO về vệ sinh an toàn thực phẩm","OK"
"5575","ISO 45001:2018 là gì ?  Cấp Chứng Chỉ ISO 45001 Toàn Quốc","OK"
"5567","Giải pháp tăng năng suất lao động nhờ hệ thống quản lý chất lượng ISO 9001: 2015","OK"
"5566","Tài liệu ISO 14001 PDF &#8211; Hệ Thống Quản Lý Môi Trường và các yêu cầu","OK"
"5555","Các bước Xây dựng và Chứng nhận hệ thống quản lý môi trường theo ISO 14001:2015","OK"
"5549","So sánh ISO 9001 và ISO 22000","OK"
"5457","Tiêu chuẩn ISO/IEC 17025:2017 pdf – Hệ thống quản lý phòng thí nghiệm","OK"
"5439","Tiêu chuẩn ISO 45001 pdf &#8211; Hệ thống quản lý an toàn và sức khỏe nghề nghiệp","OK"
"5438","Tiêu chuẩn HACCP pdf &#8211; Hệ thống quản lý chất lượng an toàn thực phẩm","OK"
"5257","Sự khác nhau giữa đánh giá SEDEX và BSCI là gì?","OK"
"5130","Hướng dẫn triển khai áp dụng phương pháp 5S tại Doanh Nghiệp (Phần 3)","OK"
"5052","Các quy định về giờ làm việc, quyền thương lượng tập thể trong Đánh giá BSCI là gì?","OK"
"5041","7 Vấn đề về lao động trong tiêu chuẩn EICC-RBA","OK"
"4880","Công Ty CP Dược Trung Ương MEDIPLANTEX: Kết quả bất ngờ sau khi triển khai áp dụng 5S","OK"
"4745","Thông điệp Ngày Tiêu chuẩn Thế giới 14-10-2020","OK"
"4663","Thay đổi bộ mặt đơn vị hành chính nhờ áp dụng ISO 9001:2015","OK"
"4658","Chứng Nhận ISO 14001:2015 Theo Yêu Cầu của Nghị định số 40/2019/NĐ-CP","OK"
"4557","Khóa học đào tạo chuyên sâu về CSR tại Hồ Chí Minh ngày 11-12/07/2020","OK"
"4525","Tại sao áp dụng ISO 9001 giúp Doanh Nghiệp giảm thiểu chi phí ?","OK"
"4145","Các hướng dẫn Trách Nhiệm Xã Hội của chứng nhận GRS","OK"
"3973","Tổ chức của bạn có đủ điều kiện cho C-TPAT ?","OK"
"3779","Tập đoàn LEGO tham gia Chương trình Đồ chơi Đạo đức ICTI","OK"
"3418","GLOBALG.AP: ra mắt chuỗi hành trình sản phẩm v.6","OK"
"3384","Hướng doanh nghiệp xây dựng mô hình quản lí bền vững với ISO 27501","OK"
"24389","Quy trình ISO là gì? 10 bước áp dụng ISO 9001 vào trong doanh nghiệp","OK"
"24316","QMS là gì? Hệ thống quản lý chất lượng ISO 9001 là gì ?","OK"
"3220","10 lợi ích tuyệt vời mà ISO 45001 đem lại cho công việc kinh doanh của bạn.","OK"
"3208","Những Câu Hỏi Thường Gặp Về CE MARKING (Phần 2)","OK"
"3142","Hà Tĩnh ap dụng Hệ thống quản lý chất lượng theo TCVN ISO 9001 cho174 cơ quan","OK"
"3119","Lí do ban hành tiêu chuẩn ISO 45001:2018","OK"
"3064","Những lưu ý khi đánh dấu CE cho Sản Phẩm","OK"
"3041","Những câu hỏi về hợp quy may mặc theo Thông tư  21/2017/TT-BCT","OK"
"2982","Những câu hỏi thường gặp về CE MARKING","OK"
"24458","Nhiều Doanh Nghiệp Việt áp dụng thành công tiêu chuẩn ISO 45001:2018","OK"
"2877","Câu hỏi cần biết về tiêu chuẩn ISO 45001","OK"
"2846","Xu hướng áp dụng C-TPAT cho Doanh Nghiệp Dịch Vụ Bảo Vệ","OK"
"24398","Khóa đào tạo ISO 14001:2015 – Nhận thức và đánh giá viên nội bộ theo ISO 14001:2015","OK"
"2801","KHOÁ HỌC NHẬN THỨC VÀ ĐÁNH GIÁ NỘI BỘ TÍCH HỢP VỀ THỰC PHẨM (HACCP, ISO 22000)","OK"
"2728","Nhiều đơn vị Việt Nam đạt chứng nhận ISO 45001:2018","OK"
"2723","Sự khác biệt chính của ISO 45001:2018 và OHSAS 18001","OK"
"2634","Chứng nhận tiêu chuẩn Organic cho Doanh Nghiệp","OK"
"2632","Tiêu chuẩn FSSC 22000 phiên bản 4.1 có gì mới?","OK"
"2592","Những câu hỏi về tiêu chuẩn Dệt may Hữu cơ Toàn cầu GOTS","OK"
"2578","Những Câu Hỏi Thường Gặp về Chứng Nhận FSSC 22000","OK"
"24501","Các bước Xây dựng Hệ thống Quản lý Chất lượng theo ISO 22000","OK"
"2428","Nên lựa chọn tiêu chuẩn GAP hay tiêu chuẩn BRC","OK"
"2344","Lợi ích khi thực hiện trách nhiệm xã hội của Doanh Nghiệp","OK"
"2287","Đáp ứng nhu cầu về chất lượng: Chứng nhận IATF 16949 phiên bản mới","OK"
"2258","YÊU CẦU, THAY ĐỔI MỚI CỦA BRC FOOD ISSUE 8  PHÁT HÀNH 01-08-2018","OK"
"2188","Đánh giá GRS &#8211; Tiêu chuẩn tái chế toàn cầu quan trọng cho ngành dệt may hiện nay","OK"
"2172","Đánh giá WCA cho Doanh Nghiệp sản xuất đồ chơi, quà tặng, dệt may, sản phẩm điện tử đồ gia dụng","OK"
"2167","Những điều bạn cần biết về IATF 16949:2016","OK"
"2068","Sự khác biệt giữa Tiêu chuẩn ISO 45001 và OHSAS 18001","OK"
"1941","5 yếu tố cần thiết cho sự thành công của hệ thống ISO 14001","OK"
"1939","Để làm Tiêu chuẩn ISO 14001:2015 cần thời gian bao lâu ?","OK"
"1938","Câu hỏi về Hệ Thống Quản Lý Môi Trường ISO 14001","OK"
"1921","Chứng nhận IATF 16949: 2016 &#8211; Các Câu Hỏi Thường Gặp","OK"
"1881","Câu hỏi thường gặp về C-TPAT 9 (P2)","OK"
"1876","Tiêu chuẩn ISO 22000 ‘bệ đỡ’ cho sản phẩm thực phẩm an toàn, chất lượng","OK"
"1860","Chứng Nhận FSSC 22000 cho Doanh Nghiệp sản xuất bao bì thực phẩm","OK"
"1853","Chương trình an ninh chuỗi cung ứng: Tác động tích cực cho người gửi hàng","OK"
"1817","10 Câu Hỏi Thường Gặp Trong Quá Trình Chứng Nhận FSSC 22000","OK"
"1786","Độc đáo nét ăn uống kỹ tính như người Do Thái","OK"
"1764","Giấy chứng nhận Kosher mở rộng thị trường tiềm năng","OK"
"1698","Miễn chứng nhận hợp quy cho sơn Epoxy, sơn Alkyd","OK"
"1697","Câu hỏi thường gặp về tiêu chuẩn C-TPAT","OK"
"1636","Quy trình cấp chứng nhận thực phẩm hữu cơ của USDA","OK"
"1635","Tổ chức nào đánh giá &#8211; chứng nhận Organic uy tín nhất ?","OK"
"1611","Thủy điện Văn Chấn: Kết quả từ việc triển khai áp dụng 5S","OK"
"1496","Một số loại chứng nhận hữu cơ ( Organic ) nổi tiếng trên thế giới.","OK"
"1455","Dời thời gian thực hiện chứng nhận hợp quy sản phẩm dệt may cho doanh nghiệp may mặc","OK"
"1451","5S và Kaizen: Đòn bẩy tăng năng suất lao động","OK"
"1436","Những yêu cầu cơ bản về thực phẩm theo chuẩn Kosher","OK"
"1427","An toàn vệ sinh lao động khi làm việc trong điều kiện thiếu dưỡng khí","OK"
"1372","10 Lý do tại sao các tổ chức cần chứng nhận ISO 14001:2015","OK"
"1346","Muốn trở thành thành viên của sedex cần làm những gì","OK"
"1338","Đào tạo, hướng dẫn áp dụng và đánh giá nội bộ tiêu chuẩn EICC (RBA)","OK"
"1336","Sự khác nhau giữa ISO 9000 và tiêu chuẩn TQM","OK"
"1322","Chứng chỉ ISO 9001:2015 có hiệu lực trong bao lâu ?","OK"
"1308","Tổ chức nào đánh giá &#8211; chứng nhận WRAP uy tín ?","OK"
"1288","EICC trở thành RBA &#8211; Liên minh các doanh nghiệp kinh doanh có trách nhiệm","OK"
"1280","Một số câu hỏi thường gặp về Sedex &#8211; Smeta về trách nhiệm xã hội","OK"
"1277","List câu hỏi về HACCP &#8211; Hệ Thống Quản Lý An Toàn Thực Phẩm","OK"
"1254","15 câu hỏi chính liên quan đến phiên bản mới tiêu chuẩn ISO 9001 và 14001 năm 2015","OK"
"1252","CÁC CÂU HỎI THƯỜNG GẶP VỀ ISO 9001","OK"
"1247","ISO 14001:2015: Chìa khóa hội nhập cho doanh nghiệp Việt","OK"
"1197","Huấn Luyện Cấp chứng chỉ An toàn Lao động theo NĐ 44 mới nhất","OK"
"1129","Doanh nghiệp cần chuẩn bị gì khi áp dụng ISO 9001","OK"
