expert,group,confidence,method,reason,post_id,title,url,date,modified,categories,tags
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,wrap,6186,12 Nguyên Tắc Của WRAP,https://knacert.com.vn/tin-tuc-tieu-chuan/12-nguyen-tac-cua-wrap/,2021-07-06T07:01:46,2026-05-18T13:05:41,Tin Tức Tiêu Chuẩn,
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,bsci,24761,20 Câu hỏi quan trọng (Crucial Questions) trong đánh giá BSCI bạn cần biết,https://knacert.com.vn/tin-tuc-tieu-chuan/20-cau-hoi-quan-trong-crucial-questions-trong-danh-gia-bsci-ban-can-biet/,2026-03-17T02:37:26,2026-05-18T09:38:15,Tin Tức Tiêu Chuẩn,bsci
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,sa8000,13881,3 hình thức Đánh giá SA8000 & SA8000 Audit Report,https://knacert.com.vn/tin-tuc-tieu-chuan/3-hinh-thuc-danh-gia-sa8000-sa8000-audit-report/,2025-09-23T08:17:17,2026-05-18T09:37:17,Tin Tức Tiêu Chuẩn,
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,rcs,3401,3 lý do tại sao ISO 27001 giúp bảo vệ thông tin bí mật trong các cô…,https://knacert.com.vn/tin-tuc-nganh-nghe/kna-cert-tu-van-rcs-cho-cong-ty-tnhh-vina-kailo/,2019-11-05T09:13:59,2025-11-21T05:08:06,"Tin tức ngành nghề, Tin Tức Nội Bộ KNA",
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,bsci,13514,5 bước lập mục tiêu BSCI hiệu quả cho doanh nghiệp,https://knacert.com.vn/tin-tuc-tieu-chuan/5-buoc-lap-muc-tieu-bsci-hieu-qua-cho-doanh-nghiep/,2025-07-08T10:09:55,2026-02-12T03:46:51,Tin Tức Tiêu Chuẩn,
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,bsci,13541,7 cam kết của lãnh đạo về BSCI,https://knacert.com.vn/tin-tuc-tieu-chuan/7-cam-ket-cua-lanh-dao-ve-bsci/,2025-07-14T10:25:49,2026-05-18T09:50:35,Tin Tức Tiêu Chuẩn,
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,rba,5041,7 Vấn đề về lao động trong tiêu chuẩn EICC-RBA,https://knacert.com.vn/tin-tuc-tieu-chuan/7-van-de-ve-lao-dong-trong-tieu-chuan-eicc-rba/,2020-12-07T02:13:58,2026-05-18T13:06:23,Tin Tức Tiêu Chuẩn,
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,bsci,6979,[BSCI remediation plan sample] Mẫu kế hoạch khắc phục BSCI,https://knacert.com.vn/tin-tuc-tieu-chuan/bsci-remediation-plan-sample-mau-ke-hoach-khac-phuc-bsci/,2022-03-16T07:57:08,2026-05-18T13:04:32,Tin Tức Tiêu Chuẩn,
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,bsci,7034,[BSCI report] Báo cáo BSCI là gì?,https://knacert.com.vn/tin-tuc-tieu-chuan/bsci-report-bao-cao-bsci-la-gi/,2022-03-17T01:49:08,2026-05-18T13:04:30,Tin Tức Tiêu Chuẩn,
Ph?m ??nh S?c,ESG/Tr?ch nhi?m x? h?i/T?i ch?,Trung b?nh,keyword,smeta,8670,[SMETA report] Báo cáo SMETA là gì?,https://knacert.com.vn/tin-tuc-tieu-chuan/smeta-report-bao-cao-smeta-la-gi/,2023-03-22T08:52:44,2026-05-18T09:32:15,Tin Tức Tiêu Chuẩn,
