row,keyword,url,tieu_chuan,loai_trang,pheu_mua_hang,search_intent,nhom_trang,source_row
11,dịch vụ kiểm kê khí nhà kính,https://knacert.com.vn/dich-vu/dich-vu-kiem-ke-khi-nha-kinh/,BÁO CÁO KIỂM KÊ NHÀ KÍNH,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,21
20,chứng nhận iso 22301,https://knacert.com.vn/dich-vu/dich-vu-chung-nhan-iso-223012019-cong-nhan-quoc-te/,ISO 22301:2019,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,225
23,tisax là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-tisax-he-thong-quan-ly-an-toan-thong-tin-trong-nganh-o-to/,,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,652
27,ce mark,https://knacert.com.vn/dich-vu-chung-nhan/chung-nhan-ce-marketing/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,668
28,ce marking là gì,https://knacert.com.vn/dich-vu-chung-nhan/chung-nhan-ce-marketing/,,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,668
29,chứng chỉ ce marking,https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-thuong-gap-ve-ce-marking/,CE MARKING; ESG,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,55
30,chứng nhận ce marking,https://knacert.com.vn/dich-vu/chung-nhan-ce-marking/,CE MARKING,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,51
37,chứng chỉ iso 50001,https://knacert.com.vn/dich-vu/chung-nhan-iso-500012018-he-thong-quan-ly-nang-luong/,ISO 50001:2018,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,262
38,chứng nhận iso 50001,https://knacert.com.vn/dich-vu/chung-nhan-iso-500012018-he-thong-quan-ly-nang-luong/,ISO 50001:2018,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,262
39,iso 50001,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-ve-he-thong-quan-ly-nang-luong-iso-50001/,ISO 50001:2018,Blog / Bài Viết,TOFU – Nhận biết,Informational,Blog – Tin tức,263
40,iso 50001 2018,https://knacert.com.vn/dich-vu/chung-nhan-iso-500012018-he-thong-quan-ly-nang-luong/,ISO 50001:2018,Trang Dịch Vụ,BOFU – Quyết định,Commercial,Service – Chứng nhận,262
