row,keyword,url,reason
2,khí nhà kính,https://knacert.com.vn/blogs/tin-tong-hop/iso-14064-la-gi-huong-dan-kiem-ke-khi-nha-kinh-toan-dien,url_not_found_in_page_classification
3,khí nhà kính là gì,,blank_url
4,kiểm kê khí nhà kính,https://knacert.com.vn/blogs/tin-tuc/ho-tro-bao-cao-kiem-ke-khi-nha-kinh-theo-nghi-dinh-062022nd-cp,url_not_found_in_page_classification
5,giảm phát thải khí nhà kính,,blank_url
6,phát thải khí nhà kính,,blank_url
7,báo cáo kiểm kê khí nhà kính pdf,https://knacert.com.vn/blogs/tin-tuc/ho-tro-bao-cao-kiem-ke-khi-nha-kinh-theo-nghi-dinh-062022nd-cp,url_not_found_in_page_classification
8,khí nhà kính bao gồm,,blank_url
9,phát thải khí nhà kính là gì,https://knacert.com.vn/blogs/tin-tong-hop/khi-nha-kinh-la-gi-nhung-bien-phap-giup-giam-thieu-phat-thai-khi-nha-kinh,url_not_found_in_page_classification
10,khí nhà kính là khí gì,,blank_url
12,kiểm kê khí nhà kính là gì,,blank_url
13,mẫu báo cáo kiểm kê khí nhà kính,https://knacert.com.vn/blogs/tin-tuc/ho-tro-bao-cao-kiem-ke-khi-nha-kinh-theo-nghi-dinh-062022nd-cp,url_not_found_in_page_classification
14,báo cáo kiểm kê khí nhà kính của công ty,,blank_url
15,báo cáo khí nhà kính,https://knacert.com.vn/blogs/tin-tuc/huong-dan-kiem-ke-khi-nha-kinh-va-bao-cao-theo-iso-140642018-tu-a-z,url_not_found_in_page_classification
16,giảm khí nhà kính,,blank_url
17,iso 31000,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-310002018-pdf/,url_not_found_in_page_classification
18,iso 31000 2018,https://knacert.com.vn/tin-tuc-tieu-chuan/tai-lieu-iso-310002018-pdf/,url_not_found_in_page_classification
19,tiêu chuẩn iso 31000,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-31000-khac-tinh-cua-rui-ro-trong-doanh-nghiep/,url_not_found_in_page_classification
21,iso 22301,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-22301-ve-quan-ly-kinh-doanh-lien-tuc/,url_not_found_in_page_classification
22,iso 22301 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-22301-ve-quan-ly-kinh-doanh-lien-tuc/,url_not_found_in_page_classification
24,tisax certification,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-tisax-he-thong-quan-ly-an-toan-thong-tin-trong-nganh-o-to,url_not_found_in_page_classification
25,iso 27001 tisax,https://knacert.com.vn/blogs/tin-tuc/diem-giong-va-khac-nhau-giua-tisax-vs-iso-27001,url_not_found_in_page_classification
26,tisax iso 27001,https://knacert.com.vn/blogs/tin-tuc/diem-giong-va-khac-nhau-giua-tisax-vs-iso-27001,url_not_found_in_page_classification
31,cấp chứng nhận ce marking,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-ce-marking/,url_not_found_in_page_classification
32,iso 28001,https://knacert.com.vn/tin-tuc-tieu-chuan/loi-ich-cua-doanh-nghiep-khi-dat-chung-nhan-nhan-iso-28001/,url_not_found_in_page_classification
