row,keyword,old_url,new_url,gsc_clicks,gsc_impressions,gsc_position,gsc_page_count_for_query
11,dịch vụ kiểm kê khí nhà kính,https://knacert.com.vn/blogs/tin-tuc/ho-tro-bao-cao-kiem-ke-khi-nha-kinh-theo-nghi-dinh-062022nd-cp,https://knacert.com.vn/dich-vu/dich-vu-kiem-ke-khi-nha-kinh/,0.0,21.0,17.095238095238095,1
19,tiêu chuẩn iso 31000,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-310001-he-thong-quan-ly-rui-ro/,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-31000-khac-tinh-cua-rui-ro-trong-doanh-nghiep/,0.0,3.0,16.666666666666664,2
20,chứng nhận iso 22301,,https://knacert.com.vn/dich-vu/dich-vu-chung-nhan-iso-223012019-cong-nhan-quoc-te/,0.0,3.0,19.666666666666668,2
22,iso 22301 là gì,https://knacert.com.vn/tin-tuc-tieu-chuan/he-thong-quan-ly-kinh-doanh-lien-tuc-iso-22301-business-continuity-management/,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-22301-ve-quan-ly-kinh-doanh-lien-tuc/,0.0,10.0,10.6,3
23,tisax là gì,https://knacert.com.vn/blogs/tin-tuc/diem-giong-va-khac-nhau-giua-tisax-vs-iso-27001,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-tisax-he-thong-quan-ly-an-toan-thong-tin-trong-nganh-o-to/,1.0,40.0,4.875,1
27,ce mark,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-ce-marking/,https://knacert.com.vn/dich-vu-chung-nhan/chung-nhan-ce-marketing/,0.0,5.0,18.8,2
28,ce marking là gì,https://knacert.com.vn/dao-tao-chung-nhan-ce-marking,https://knacert.com.vn/dich-vu-chung-nhan/chung-nhan-ce-marketing/,0.0,2.0,11.5,2
29,chứng chỉ ce marking,,https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-thuong-gap-ve-ce-marking/,0.0,1.0,16.0,1
30,chứng nhận ce marking,https://knacert.com.vn/products?id=71,https://knacert.com.vn/dich-vu/chung-nhan-ce-marking/,0.0,12.0,17.75,5
31,cấp chứng nhận ce marking,https://knacert.com.vn/products?id=71,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-ce-marking/,0.0,2.0,14.0,2
32,iso 28001,https://knacert.com.vn/blogs/tin-tuc/loi-ich-cua-doanh-nghiep-khi-dat-chung-nhan-nhan-iso-28001,https://knacert.com.vn/tin-tuc-tieu-chuan/loi-ich-cua-doanh-nghiep-khi-dat-chung-nhan-nhan-iso-28001/,0.0,17.0,1.2941176470588236,1
36,iso 3834,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-iso-3834---he-thong-quan-ly-chat-luong-han,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-3834-he-thong-quan-ly-chat-luong-han/,4.0,49.0,5.020408163265306,2
37,chứng chỉ iso 50001,https://knacert.com.vn/blogs/tin-tuc/loi-ich-cua-iso-50001-doi-voi-doanh-nghiep-la-gi,https://knacert.com.vn/dich-vu/chung-nhan-iso-500012018-he-thong-quan-ly-nang-luong/,0.0,2.0,3.0,1
